###Format is name, language as an iteger (from megamek's masterancestry.txt file)
Blais, 1
Blaisdell, 1
Blake, 1
Blakely, 1
Blakemore, 1
Blakeney, 1
Blakeslee, 1
Blakeway, 1
Blakey, 1
Blakley, 1
Blakney, 1
Blalock, 1
Blamey, 1
Blanc, 1
Blanch, 1
Blanchard, 1
Bland, 1
Blandford, 1
Blanding, 1
Blandings, 1
Blaney, 1
Blankenbecker, 1
Blankenbeckler, 1
Blankenbecler, 1
Blankenbeker, 1
Blankenship, 1
Blankinship, 1
Blankley, 1
Blanks, 1
Blanton, 1
Blaser, 1
Blasingame, 1
Blassingame, 1
Blatchford, 1
Blatherwick, 1
Blatt, 1
Blau, 1
Blaylock, 1
Blayney, 1
Blazer, 1
Bleakley, 1
Bleasdale, 1
Bleazard, 1
Bleazzard, 1
Bledsoe, 1
Bleecker, 1
Bleeker, 1
Blencowe, 1
Blenkin, 1
Blenkinson, 1
Blenkinsopp, 1
Blenkiron, 1
Blennerhassett, 1
Blessing, 1
Bletsoe, 1
Blevins, 1
Blezard, 1
Bligh, 1
Bliss, 1
Blizzard, 1
Bloch, 1
Block, 1
Blocker, 1
Blodgett, 1
Blood, 1
Bloodworth, 1
Bloomer, 1
Bloomquist, 1
Bloor, 1
Blosser, 1
Blough, 1
Blouin, 1
Blount, 1
Blowers, 1
Blowey, 1
Bloye, 1
Blue, 1
Blundell, 1
Blunsden, 1
Blunsdon, 1
Blunt, 1
Blunty, 1
Bly, 1
Blye, 1
Blyth, 1
Blythe, 1
Boaden, 1
Boam, 1
Board, 1
Boardman, 1
Boase, 1
Boatman, 1
Boatner, 1
Boatright, 1
Boatwright, 1
Bobb, 1
Bobbitt, 1
Bock, 1
Boddie, 1
Boddington, 1
Boddy, 1
Boden, 1
Bodenham, 1
Bodhe, 1
Bodie, 1
Bodin, 1
Bodine, 1
Bodle, 1
Bodley, 1
Bodnar, 1
Bodner, 1
Boehm, 1
Boerner, 1
Boes, 1
Boettcher, 1
Boffey, 1
Bogan, 1
Bogard, 1
Bogart, 1
Bogdan, 1
Bogen, 1
Boger, 1
Boggis, 1
Boggs, 1
Bogie, 1
Bogle, 1
Bogue, 1
Bohanan, 1
Bohannan, 1
Bohannon, 1
Bohl, 1
Bohn, 1
Boisvert, 1
Bolam, 1
Boland, 1
Bold, 1
Bolden, 1
Bolding, 1
Boldt, 1
Bolen, 1
Boles, 1
Boley, 1
Bolick, 1
Bolin, 1
Boling, 1
Bolinger, 1
Bolitho, 1
Bollansted, 1
Bolling, 1
Bollinger, 1
Bollman, 1
Bolshaw, 1
Bolster, 1
Bolt, 1
Bolton, 1
Bolyard, 1
Boman, 1
Bomar, 1
Bomford, 1
Bonar, 1
Bond, 1
Bonden, 1
Bonds, 1
Bondurant, 1
Bone, 1
Boner, 1
Bones, 1
Bonespoir, 1
Boney, 1
Bonfield, 1
Bonham, 1
Boniface, 1
Bonin, 1
Bonneau, 1
Bonnell, 1
Bonner, 1
Bonnett, 1
Bonney, 1
Bonniface, 1
Bonsall, 1
Bontein, 1
Bontine, 1
Bontrager, 1
Boodle, 1
Book, 1
Booker, 1
Bookman, 1
Bookout, 1
Boon, 1
Boone, 1
Boorman, 1
Boose, 1
Booth, 1
Boothe, 1
Boothroyd, 1
Boozer, 1
Bopp, 1
Borchardt, 1
Borchers, 1
Bordeaux, 1
Bordelon, 1
Borden, 1
Border, 1
Borders, 1
Boreland, 1
Boren, 1
Borg, 1
Boring, 1
Bork, 1
Borkholder, 1
Borlase, 1
Borman, 1
Born, 1
Borner, 1
Borrell, 1
Borrett, 1
Borst, 1
Borthwick, 1
Borton, 1
Borwick, 1
Boscawen, 1
Bosch, 1
Bosley, 1
Boss, 1
Bosse, 1
Bossom, 1
Bostic, 1
Bostick, 1
Boston, 1
Bostwick, 1
Bosville, 1
Boswell, 1
Bosworth, 1
Boteler, 1
Botfield, 1
Bothwell, 1
Bothwick, 1
Botkin, 1
Bott, 1
Botterell, 1
Botterill, 1
Botting, 1
Bottomley, 1
Bottoms, 1
Botts, 1
